cve	scorev3	vector	upstream_fix_phrase	summary	link	filter_reason
CVE-2022-4543	5.5	LOCAL	no	A flaw named "EntryBleed" was found in the Linux Kernel Page Table Isolation (KPTI). This issue could allow a local attacker to leak KASLR base via prefetch side-channels based on TLB timing for Intel systems.	https://nvd.nist.gov/vuln/detail/CVE-2022-4543	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-3079	8.8	NETWORK	no	Type confusion in V8 in Google Chrome prior to 114.0.5735.110 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High)	https://nvd.nist.gov/vuln/detail/CVE-2023-3079	bad-cpe-match: Chromium V8 entry, not a kernel CVE
CVE-2023-4010	4.6	PHYSICAL	no	A flaw was found in the USB Host Controller Driver framework in the Linux kernel. The usb_giveback_urb function has a logic loophole in its implementation. Due to the inappropriate judgment condition of the goto statement, the function cannot return under the input of a specific malformed descriptor file, so it falls into an endless loop, resulting in a denial of service.	https://nvd.nist.gov/vuln/detail/CVE-2023-4010	filtered-vector-low-criticality: PHYSICAL scorev3<7
CVE-2023-52485	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Wake DMCUB before sending a command  [Why] We can hang in place trying to send commands when the DMCUB isn't powered on.  [How] For functions that execute within a DC context or DC lock we can wrap the direct calls to dm_execute_dmub_cmd/list with code that exits idle power optimizations and reallows once we're done with the command submission on success.  For DM direct submissions the DM will need to manage the enter/exit sequencing manually.  We cannot invoke a DMCUB command directly within the DM execution helper or we can deadlock.	https://nvd.nist.gov/vuln/detail/CVE-2023-52485	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52585	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amdgpu: Fix possible NULL dereference in amdgpu_ras_query_error_status_helper()  Return invalid error code -EINVAL for invalid block id.  Fixes the below:  drivers/gpu/drm/amd/amdgpu/amdgpu_ras.c:1183 amdgpu_ras_query_error_status_helper() error: we previously assumed 'info' could be null (see line 1176)	https://nvd.nist.gov/vuln/detail/CVE-2023-52585	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52590	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  ocfs2: Avoid touching renamed directory if parent does not change  The VFS will not be locking moved directory if its parent does not change. Change ocfs2 rename code to avoid touching renamed directory if its parent does not change as without locking that can corrupt the filesystem.	https://nvd.nist.gov/vuln/detail/CVE-2023-52590	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52625	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Refactor DMCUB enter/exit idle interface  [Why] We can hang in place trying to send commands when the DMCUB isn't powered on.  [How] We need to exit out of the idle state prior to sending a command, but the process that performs the exit also invokes a command itself.  Fixing this issue involves the following:  1. Using a software state to track whether or not we need to start    the process to exit idle or notify idle.  It's possible for the hardware to have exited an idle state without driver knowledge, but entering one is always restricted to a driver allow - which makes the SW state vs HW state mismatch issue purely one of optimization, which should seldomly be hit, if at all.  2. Refactor any instances of exit/notify idle to use a single wrapper    that maintains this SW state.  This works simialr to dc_allow_idle_optimizations, but works at the DMCUB level and makes sure the state is marked prior to any notify/exit idle so we don't enter an infinite loop.  3. Make sure we exit out of idle prior to sending any commands or    waiting for DMCUB idle.  This patch takes care of 1/2. A future patch will take care of wrapping DMCUB command submission with calls to this new interface.	https://nvd.nist.gov/vuln/detail/CVE-2023-52625	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52634	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  drm/amd/display: Fix disable_otg_wa logic  [Why] When switching to another HDMI mode, we are unnecesarilly disabling/enabling FIFO causing both HPO and DIG registers to be set at the same time when only HPO is supposed to be set.  This can lead to a system hang the next time we change refresh rates as there are cases when we don't disable OTG/FIFO but FIFO is enabled when it isn't supposed to be.  [How] Removing the enable/disable FIFO entirely.	https://nvd.nist.gov/vuln/detail/CVE-2023-52634	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52904	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  ALSA: usb-audio: Fix possible NULL pointer dereference in snd_usb_pcm_has_fixed_rate()  The subs function argument may be NULL, so do not use it before the NULL check.	https://nvd.nist.gov/vuln/detail/CVE-2023-52904	filtered-vector-low-criticality: LOCAL scorev3<7
CVE-2023-52920	5.5	LOCAL	yes	In the Linux kernel, the following vulnerability has been resolved:  bpf: support non-r10 register spill/fill to/from stack in precision tracking  Use instruction (jump) history to record instructions that performed register spill/fill to/from stack, regardless if this was done through read-only r10 register, or any other register after copying r10 into it *and* potentially adjusting offset.  To make this work reliably, we push extra per-instruction flags into instruction history, encoding stack slot index (spi) and stack frame number in extra 10 bit flags we take away from prev_idx in instruction history. We don't touch idx field for maximum performance, as it's checked most frequently during backtracking.  This change removes basically the last remaining practical limitation of precision backtracking logic in BPF verifier. It fixes known deficiencies, but also opens up new opportunities to reduce number of verified states, explored in the subsequent patches.  There are only three differences in selftests' BPF object files according to veristat, all in the positive direction (less states).  File                                    Program        Insns (A)  Insns (B)  Insns  (DIFF)  States (A)  States (B)  States (DIFF) --------------------------------------  -------------  ---------  ---------  -------------  ----------  ----------  ------------- test_cls_redirect_dynptr.bpf.linked3.o  cls_redirect        2987       2864  -123 (-4.12%)         240         231    -9 (-3.75%) xdp_synproxy_kern.bpf.linked3.o         syncookie_tc       82848      82661  -187 (-0.23%)        5107        5073   -34 (-0.67%) xdp_synproxy_kern.bpf.linked3.o         syncookie_xdp      85116      84964  -152 (-0.18%)        5162        5130   -32 (-0.62%)  Note, I avoided renaming jmp_history to more generic insn_hist to minimize number of lines changed and potential merge conflicts between bpf and bpf-next trees.  Notice also cur_hist_entry pointer reset to NULL at the beginning of instruction verification loop. This pointer avoids the problem of relying on last jump history entry's insn_idx to determine whether we already have entry for current instruction or not. It can happen that we added jump history entry because current instruction is_jmp_point(), but also we need to add instruction flags for stack access. In this case, we don't want to entries, so we need to reuse last added entry, if it is present.  Relying on insn_idx comparison has the same ambiguity problem as the one that was fixed recently in [0], so we avoid that.    [0] https://patchwork.kernel.org/project/netdevbpf/patch/20231110002638.4168352-3-andrii@kernel.org/	https://nvd.nist.gov/vuln/detail/CVE-2023-52920	filtered-vector-low-criticality: LOCAL scorev3<7
